Molecular Weight (g/mol),Density (g/cm3),C in comononmer A,C in comononmer B,%B,CH in A,CH in A+B,CH2 in A,CH2 in A+B,CH3 in A+B,CH bonds A+B,N in A+B,O in A+B,C=O,%C=O,Rings,%C in rings,Tm(°C),Tg (°C),Crystallinity%,"Critical thickness of the specimen (Lcrit, mm)",Surface area (mm2),Specific surface area (mm2/mm3),Pretrement,Level,Temperature,Humidity,pH,k Biodegradation rate (s^-1) first-order,T Lag time (days),A%,Testing duration (days)
38000,1.34,3,2,50,1,1,0,1,1,6,0,4,2,22.22222222,0,0,145,46,1,0.32,303.36,6.58,1 Indoor,1,25,1,7.9,1.581E-07,125.8,100,270
38000,1.34,10,0,0,4,4,2,2,0,8,0,4,2,14.28571429,1,60,250.5,75.5,24,0.32,303.36,6.58,1 Indoor,1,25,1,7,3.26856E-12,0,93.19,380
38000,1.34,10,0,0,4,4,2,2,0,8,0,4,2,14.28571429,1,60,250.5,75.5,24,0.32,303.36,6.58,1 Indoor,1,25,1,7.9,3.26856E-12,0,93.19,380
80000,1.145,6,0,0,0,0,5,5,0,10,0,2,1,12.5,0,0,59,-59,60,0.32,303.36,6.58,1 Indoor,1,25,1,7,4.8264E-10,0,86.5,380
80000,1.145,6,0,0,0,0,5,5,0,10,0,2,1,12.5,0,0,59,-59,60,0.32,303.36,6.58,1 Indoor,1,25,1,7.9,4.3241E-10,0,86.5,380
50000,1.1438,6,6,30,0,5,5,6,0,17,0,7,1,5.263157895,1,41.67,60,-60,55,0.4,0.502654825,15,1 Indoor,0,37,1,7.4,6.4167E-06,0.9169,16.09,90
50000,1.1438,6,6,30,0,5,5,6,0,17,0,7,1,5.263157895,1,41.67,60,-60,55,0.4,0.502654825,15,1 Indoor,7,37,1,7.4,7.3542E-06,0.4616,35.02,90
50000,1.1438,6,6,30,0,5,5,6,0,17,0,7,1,5.263157895,1,41.67,60,-60,55,0.4,0.502654825,15,1 Indoor,7,37,1,7.4,3.6285E-06,0,67.8,90
50000,1.1438,6,6,30,0,5,5,6,0,17,0,7,1,5.263157895,1,41.67,60,-60,55,0.4,0.502654825,15,1 Indoor,7,37,1,7.4,3.0579E-06,0,76.11,90
7200,1.36,6,0,0,0,0,4,4,0,8,0,4,2,20,0,0,100,-13.9,74.47,0.9,259.99,2.56,1 Indoor,6,37,1,6.8,5.55138E-08,0,93.89,7
7200,1.36,6,0,0,0,0,4,4,0,8,0,4,2,20,0,0,100,-13.9,74.47,0.9,259.99,2.56,1 Indoor,6,37,1,6.8,3.9204E-08,0,93.89,7
7200,1.36,6,0,0,0,0,4,4,0,8,0,4,2,20,0,0,100,-13.9,74.47,0.9,259.99,2.56,1 Indoor,6,37,1,6.8,1.70513E-07,0,93.89,7
7200,1.36,6,0,0,0,0,4,4,0,8,0,4,2,20,0,0,100,-13.9,74.47,0.9,259.99,2.56,1 Indoor,7,37,1,6.8,1.82744E-06,0,93.89,7
10000,1.22,8,0,0,0,0,6,6,0,12,0,4,2,16.66666667,0,0,46,-49.5,26.41,0.9,259.99,2.56,1 Indoor,7,37,1,6.8,1.15863E-06,0,93.89,7
10000,1.22,8,0,0,0,0,6,6,0,12,0,4,2,16.66666667,0,0,46,-49.5,26.41,0.9,259.99,2.56,1 Indoor,6,37,1,6.8,8.49123E-08,0,93.89,7
